x,y,vx,vy,timestamp
610,232,-200,0,11.364
607,232,-200,0,11.391
604,229,-200,-200,11.418
601,226,-200,-200,11.445
598,223,-200,-200,11.472
595,220,-200,-200,11.497
592,217,-200,-200,11.523
589,214,-200,-200,11.55
586,211,-200,-200,11.575
583,208,-200,-200,11.601
580,205,-200,-200,11.627
577,202,-200,-200,11.657
574,199,-200,-200,11.683
571,196,-200,-200,11.709
568,193,-200,-200,11.735
565,190,-200,-200,11.761
562,187,-200,-200,11.788
559,184,-200,-200,11.814
556,181,-200,-200,11.84
553,178,-200,-200,11.867
550,175,-200,-200,11.893
547,172,-200,-200,11.919
544,169,-200,-200,11.946
541,166,-200,-200,11.972
538,163,-200,-200,11.998
535,160,-200,-200,12.023
532,157,-200,-200,12.05
529,154,-200,-200,12.076
526,151,-200,-200,12.102
523,148,-200,-200,12.129
520,145,-200,-200,12.155
517,142,-200,-200,12.182
514,139,-200,-200,12.208
511,136,-200,-200,12.234
508,133,-200,-200,12.26
505,130,-200,-200,12.287
502,127,-200,-200,12.314
499,124,-200,-200,12.343
496,121,-200,-200,12.371
493,118,-200,-200,12.398
490,115,-200,-200,12.425
487,112,-200,-200,12.451
484,109,-200,-200,12.477
481,106,-200,-200,12.503
478,103,-200,-200,12.53
478,100,0,-200,12.556
481,97,200,-200,12.582
484,94,200,-200,12.609
487,94,200,0,12.637
490,94,200,0,12.666
493,94,200,0,12.695
496,94,200,0,12.724
499,94,200,0,12.752
502,94,200,0,12.78
505,94,200,0,12.806
508,94,200,0,12.832
511,94,200,0,12.859
514,94,200,0,12.885
517,94,200,0,12.912
520,97,200,200,12.938
523,100,200,200,12.965
526,103,200,200,12.991
529,106,200,200,13.016
532,109,200,200,13.042
535,112,200,200,13.068
538,115,200,200,13.094
541,118,200,200,13.12
544,121,200,200,13.146
547,124,200,200,13.172
550,127,200,200,13.198
553,130,200,200,13.224
556,133,200,200,13.25
559,136,200,200,13.276
562,139,200,200,13.302
565,142,200,200,13.329
568,145,200,200,13.355
571,148,200,200,13.381
574,151,200,200,13.407
577,154,200,200,13.434
577,157,0,200,13.46
577,160,0,200,13.486
574,163,-200,200,13.512
571,166,-200,200,13.538
568,169,-200,200,13.564
565,169,-200,0,13.59
562,169,-200,0,13.616
559,169,-200,0,13.642
556,169,-200,0,13.669
553,169,-200,0,13.695
550,169,-200,0,13.721
547,169,-200,0,13.747
544,166,-200,-200,13.776
541,163,-200,-200,13.802
538,160,-200,-200,13.828
535,157,-200,-200,13.854
532,154,-200,-200,13.88
529,151,-200,-200,13.906
526,148,-200,-200,13.932
523,145,-200,-200,13.958
520,142,-200,-200,13.984
517,139,-200,-200,14.009
514,136,-200,-200,14.035
511,133,-200,-200,14.061
508,130,-200,-200,14.087
505,127,-200,-200,14.113
502,124,-200,-200,14.139
499,121,-200,-200,14.165
496,118,-200,-200,14.191
493,115,-200,-200,14.217
490,112,-200,-200,14.243
487,109,-200,-200,14.269
484,106,-200,-200,14.295
481,103,-200,-200,14.322
478,100,-200,-200,14.349
475,97,-200,-200,14.377
472,94,-200,-200,14.406
469,91,-200,-200,14.433
469,91,0,0,14.459
469,91,0,0,14.485
469,91,0,0,14.511
469,91,0,0,14.537
469,91,0,0,14.565
469,94,0,200,14.592
472,97,200,200,14.617
475,100,200,200,14.644
478,103,200,200,14.671
481,106,200,200,14.697
484,109,200,200,14.723
487,112,200,200,14.749
490,115,200,200,14.775
493,118,200,200,14.801
496,121,200,200,14.827
499,124,200,200,14.853
502,127,200,200,14.879
505,130,200,200,14.905
505,133,0,200,14.931
502,136,-200,200,14.957
499,139,-200,200,14.983
496,142,-200,200,15.008
493,145,-200,200,15.034
490,148,-200,200,15.06
487,151,-200,200,15.086
484,154,-200,200,15.112
481,157,-200,200,15.138
478,160,-200,200,15.164
475,163,-200,200,15.19
472,166,-200,200,15.215
469,169,-200,200,15.241
466,172,-200,200,15.267
463,175,-200,200,15.293
460,178,-200,200,15.319
457,178,-200,0,15.346
454,178,-200,0,15.372
451,178,-200,0,15.398
448,178,-200,0,15.424
445,178,-200,0,15.45
442,178,-200,0,15.476
439,178,-200,0,15.502
436,178,-200,0,15.528
